服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.79,//shop217535203.taobao.com,服饰鞋包,4.79,325,217535203,丫丫女装精品服饰,35,4.8,//rate.taobao.com/user-rate-UvCkSMmgWvmHbMNTT.htm,茂华衣服旗航店,,99.13%
4.9,//shop58568373.taobao.com,母婴,4.86,97,58568373,leiming1013,27,4.9,//rate.taobao.com/user-rate-UvFNyvmH4MC8T.htm,大鱼童装,上海,98.97%
4.76,//shop71964958.taobao.com,服饰鞋包,4.68,371,71964958,寒暖in潮,194,4.76,//rate.taobao.com/user-rate-UOmcGvmgYvCvS.htm,西西的美衣,,98.29%
4.91,//shop111884966.taobao.com,母婴,4.89,97,111884966,落洛007,123,4.9,//rate.taobao.com/user-rate-UOmxGMmQ4Om8T.htm,ICE童装小铺,广东 广州,99.91%
4.8,//shop105967143.taobao.com,服饰鞋包,4.77,728,105967143,owennliou,73,4.77,//rate.taobao.com/user-rate-UvFcSvmH4MF8YMNTT.htm,迪尔曼莎,,96.37%
4.67,//shop36187892.taobao.com,服饰鞋包,4.63,165,36187892,leexmas,71,4.67,//rate.taobao.com/user-rate-UvG8GOmIGMGgT.htm,韩欧专柜潮流女装,广东 深圳,98.38%
4.94,//shop562618960.taobao.com,服饰鞋包,4.94,49,562618960,子非宝爷,27,4.94,//rate.taobao.com/user-rate-UvF84MGcWMCIGMQTT.htm,Triangle circle,,98.21%
4.97,//shop120382099.taobao.com,服饰鞋包,4.97,49,120382099,tb_6561152,44,4.96,//rate.taobao.com/user-rate-UOmHYOFgSMFcY.htm,banana芭娜娜小铺,河南 郑州,100.00%
4.8,//shop113229108.taobao.com,服饰鞋包,4.77,482,113229108,澜沐园,28,4.79,//rate.taobao.com/user-rate-UvCIyvFgbMCxWMQTT.htm,潮家优衣店,,99.06%
4.73,//shop60616743.taobao.com,服饰鞋包,4.68,5223,60616743,柠檬的涩,271,4.72,//rate.taobao.com/user-rate-UvGcuvC8YvmxG.htm,秀怡衣柜TOP独家,,99.03%
4.65,//shop110299649.taobao.com,服饰鞋包,4.63,627,110299649,田掌柜欢迎您,88,4.63,//rate.taobao.com/user-rate-UvCNLMCvYvmNYvWTT.htm,鑫阳光服饰,,96.24%
4.93,//shop104038042.taobao.com,服饰鞋包,4.89,213,104038042,梦帆服饰,34,4.92,//rate.taobao.com/user-rate-UvFxuvFIGMCx0vNTT.htm,梦帆女装时尚店,,98.87%
4.57,//shop114357938.taobao.com,服饰鞋包,4.48,213,114357938,选择你不离不弃,402,4.61,//rate.taobao.com/user-rate-UvCIbvCcSOFQWMQTT.htm,亚洲服饰,,97.38%
4.73,//shop118504581.taobao.com,服饰鞋包,4.61,142,118504581,455405186qin,53,4.71,//rate.taobao.com/user-rate-UvCQ4MC8yvFguvWTT.htm,韩都美思,,96.78%
4.71,//shop64509552.taobao.com,服饰鞋包,4.6,278,64509552,张业桓,45,4.65,//rate.taobao.com/user-rate-UMGcbMFg0MmcT.htm,7号潮衣馆,广东 佛山,98.37%
4.75,//shop101581658.taobao.com,服饰鞋包,4.74,65,101581658,pengchenglin123,106,4.74,//rate.taobao.com/user-rate-UvG8yMGgLvGxS.htm,小城姑娘时尚女装馆,,98.93%
